district,year,pad,pajak,total,other,tkdd,population
BADUNG,2011,1000.81,938,1044.48,43.67,,100000
BADUNG,2012,1320.91,1207.32,1516.4,195.49,,100000
BADUNG,2013,1874.77,1726.81,2118.74,243.97,,100000
BADUNG,2014,2197.96,1986.07,2471.53,273.57,,100000
BADUNG,2015,2581.9,2302.81,2901.72,319.82,,100000
BADUNG,2016,2938.01,2562.46,3833.48,169.09,726.39,100000
BADUNG,2017,3823.18,3308.38,4660.82,161.82,675.82,100000
BADUNG,2018,5700.51,4989.88,6567.48,170.63,696.34,100000
BADUNG,2019,6791.52,6235.43,7782.25,253.53,737.19,100000
BADUNG,2020,5303.07,4760.83,6302.35,261.26,738.02,100000
BADUNG,2021,2815.02,2309.32,3800.97,230.84,755.11,100000
BADUNG,2022,2081.22,1667.84,2989.21,153.04,754.95,100000
BADUNG,2023,6534.3,5830.07,7459.4,218.21,706.89,100000
BADUNG,2024,10232.17,9289.16,11354,268.3,853.53,100000
BADUNG,2025,9689.44,8891.92,10671.75,82.27,900.04,100000
BANGLI,2011,22,4.27,150.37,128.37,,100000
BANGLI,2012,31,5.79,113.26,82.26,,100000
BANGLI,2013,42,7.1,141.8,99.8,,100000
BANGLI,2014,55.2,10.16,173.03,117.83,,100000
BANGLI,2015,82,10.24,252.12,170.12,,100000
BANGLI,2016,92,12.33,1030.68,122.62,816.06,100000
BANGLI,2017,117.5,14.98,1066.94,130.14,819.3,100000
BANGLI,2018,120.5,16.27,1118.9,159,839.39,100000
BANGLI,2019,139.18,19.8,1210.21,217.6,853.43,100000
BANGLI,2020,165.28,25.8,1200.64,178.84,856.52,100000
BANGLI,2021,104.25,15.74,1152.72,139.63,908.84,100000
BANGLI,2022,169.68,17.38,1139.92,140.99,829.25,100000
BANGLI,2023,255.53,49.24,1371.33,202.96,912.84,100000
BANGLI,2024,268.54,59.78,1433.15,313.87,850.74,100000
BANGLI,2025,307.45,93.6,1204.33,54.14,842.73,100000
BULELENG,2011,94.6,29.56,293.97,199.37,,100000
BULELENG,2012,111.57,36.13,312.44,200.87,,100000
BULELENG,2013,128,40.96,380.54,252.54,,100000
BULELENG,2014,176.13,68.97,510.44,334.31,,100000
BULELENG,2015,221.9,85.78,691.7,469.8,,100000
BULELENG,2016,273.61,115.96,2082.62,233.79,1575.22,100000
BULELENG,2017,351.81,143.3,2157.39,217,1588.58,100000
BULELENG,2018,371.37,151.46,2124.62,341.49,1411.76,100000
BULELENG,2019,440.09,174.65,2371.25,430.51,1500.65,100000
BULELENG,2020,402.22,181.4,2320.78,415.14,1503.41,100000
BULELENG,2021,358.38,145.68,2174.14,362.93,1452.84,100000
BULELENG,2022,420.38,157.68,2079.35,166.07,1492.9,100000
BULELENG,2023,485,183.2,2210.76,259.9,1465.86,100000
BULELENG,2024,575.42,244.59,2605.84,467.36,1563.06,100000
BULELENG,2025,696.39,365.33,2375.94,109.77,1569.79,100000
GIANYAR,2011,159.35,96.27,308.62,149.27,,100000
GIANYAR,2012,210.19,143.25,382.79,172.6,,100000
GIANYAR,2013,238.56,156.46,428.43,189.87,,100000
GIANYAR,2014,312.16,211.6,503.69,191.53,,100000
GIANYAR,2015,370.68,248.25,673.35,302.67,,100000
GIANYAR,2016,448.14,310.98,1623.51,127.34,1048.03,100000
GIANYAR,2017,610.22,457.95,1754.2,125.82,1018.16,100000
